Gene_ID,Gene_Name,HR,P.Value
ENSG00000168329,CX3CR1,0.797990375,3.83E-28
ENSG00000070731,ST6GALNAC2,0.773017837,8.64E-28
ENSG00000168907,PLA2G4F,0.838570922,1.77E-25
ENSG00000111879,FAM184A,0.817476638,5.67E-25
ENSG00000102934,PLLP,0.75946671,8.90E-24
ENSG00000131746,TNS4,1.131729086,6.28E-22
ENSG00000158220,ESYT3,0.83826495,1.30E-21
ENSG00000114854,TNNC1,0.850592363,2.76E-21
ENSG00000131016,AKAP12,1.184889625,3.24E-21
ENSG00000250722,SELENOP,0.783062939,5.07E-21
ENSG00000129521,EGLN3,1.189835379,7.64E-21
ENSG00000134827,TCN1,1.090989566,1.67E-20
ENSG00000163221,S100A12,1.158010444,2.57E-20
ENSG00000163406,SLC15A2,0.823568929,7.70E-20
ENSG00000130513,GDF15,0.864814606,1.37E-19
ENSG00000145569,OTULINL,0.806656563,1.58E-19
ENSG00000153093,ACOXL,0.788421347,5.61E-19
ENSG00000166923,GREM1,1.15123722,6.13E-19
ENSG00000148848,ADAM12,1.1879543,2.72E-18
ENSG00000100307,CBX7,0.71177553,3.66E-18
ENSG00000099994,SUSD2,0.883734042,1.07E-17
ENSG00000127249,ATP13A4,0.899155919,1.49E-17
ENSG00000108924,HLF,0.872907747,1.51E-17
ENSG00000168743,NPNT,0.847992582,1.77E-17
ENSG00000035664,DAPK2,0.809432576,2.64E-17
ENSG00000137573,SULF1,1.197489421,6.12E-17
ENSG00000117983,MUC5B,1.074190509,9.48E-17
ENSG00000142973,CYP4B1,0.918734595,2.12E-16
ENSG00000025423,HSD17B6,0.871783563,3.06E-16
ENSG00000060718,COL11A1,1.09326123,3.30E-16
ENSG00000147689,FAM83A,1.134142366,3.58E-16
ENSG00000144218,AFF3,0.875082579,6.90E-16
ENSG00000188921,HACD4,0.763549399,1.03E-15
ENSG00000170509,HSD17B13,0.869832863,1.34E-15
ENSG00000183807,FAM162B,0.808720244,1.59E-15
ENSG00000119147,ECRG4,0.876207039,1.86E-15
ENSG00000158477,CD1A,0.912816339,3.67E-15
ENSG00000109762,SNX25,0.764583808,5.63E-15
ENSG00000196611,MMP1,1.113205547,7.39E-15
ENSG00000113594,LIFR,0.819844415,1.53E-14
ENSG00000121075,TBX4,0.852731308,1.75E-14
ENSG00000168542,COL3A1,1.196194681,2.02E-14
