Gene_ID,Gene_Name,logFC,P.Value,adj.P.Val
ENSG00000175899,A2M,-1.869823972,1.99E-39,4.37E-38
ENSG00000114771,AADAC,-1.379855042,1.60E-05,3.27E-05
ENSG00000154263,ABCA10,-1.18650586,8.71E-10,2.69E-09
ENSG00000167972,ABCA3,-2.112210457,4.28E-26,4.39E-25
ENSG00000154262,ABCA6,-1.139828969,2.90E-11,1.02E-10
ENSG00000141338,ABCA8,-2.829873317,4.54E-44,1.27E-42
ENSG00000154258,ABCA9,-1.64637457,3.42E-24,3.10E-23
ENSG00000118777,ABCG2,-2.056625308,3.43E-48,1.19E-46
ENSG00000154175,ABI3BP,-2.503007225,1.06E-48,3.79E-47
ENSG00000115361,ACADL,-3.128014706,1.64E-40,3.83E-39
ENSG00000129048,ACKR4,-2.393677456,1.63E-33,2.59E-32
ENSG00000153093,ACOXL,-1.572748464,1.17E-26,1.25E-25
ENSG00000111058,ACSS3,-1.611770597,6.69E-20,4.50E-19
ENSG00000163017,ACTG2,-1.295927844,2.82E-12,1.08E-11
ENSG00000139567,ACVRL1,-2.582818908,1.66E-121,2.67E-118
ENSG00000154734,ADAMTS1,-2.337798257,8.05E-53,3.47E-51
ENSG00000156218,ADAMTSL3,-2.313766966,4.72E-42,1.19E-40
ENSG00000197381,ADARB1,-1.769377387,4.55E-66,3.48E-64
ENSG00000129467,ADCY4,-1.769866311,2.58E-53,1.14E-51
ENSG00000135298,ADGRB3,-1.533334915,7.91E-11,2.68E-10
ENSG00000111452,ADGRD1,-1.293387039,8.11E-11,2.75E-10
ENSG00000174837,ADGRE1,-2.688769077,5.98E-41,1.42E-39
ENSG00000131355,ADGRE3,-2.874284459,1.62E-50,6.31E-49
ENSG00000069122,ADGRF5,-1.099929802,1.78E-09,5.34E-09
ENSG00000117114,ADGRL2,-1.896571524,3.75E-41,9.03E-40
ENSG00000150471,ADGRL3,-1.16341449,4.25E-07,1.01E-06
ENSG00000162618,ADGRL4,-1.292783739,1.74E-32,2.61E-31
ENSG00000187758,ADH1A,-2.003158496,7.25E-12,2.68E-11
ENSG00000196616,ADH1B,-3.273521732,6.66E-35,1.15E-33
ENSG00000120907,ADRA1A,-3.395675828,1.17E-29,1.50E-28
ENSG00000157510,AFAP1L1,-1.698970171,4.37E-53,1.90E-51
ENSG00000144218,AFF3,-2.354387767,6.01E-28,6.97E-27
ENSG00000273540,AGBL1,-2.637582734,5.69E-17,3.09E-16
ENSG00000204305,AGER,-5.049316185,4.83E-79,6.32E-77
ENSG00000135049,AGTPBP1,-1.213447455,4.85E-51,1.92E-49
ENSG00000144891,AGTR1,-1.815511431,1.47E-15,7.26E-15
ENSG00000180772,AGTR2,-3.01098489,7.30E-18,4.25E-17
ENSG00000124942,AHNAK,-1.912971606,1.01E-39,2.27E-38
ENSG00000131016,AKAP12,-1.063227527,7.73E-06,1.62E-05
